"/bat_state/current_x","/bat_state/current_y","/bat_state/voltage_x","/bat_state/voltage_y"
-101916.1289,-0.2300000042, , ,
-101915.9679,-0.2300000042, , ,
-101915.9679,-0.2300000042, , ,
-101915.7879,-0.2300000042, , ,
-101915.7879,-0.2300000042, , ,
-101915.6268,-0.2399999946, , ,
-101915.6268,-0.2399999946, , ,
-101915.448,-0.2199999988, , ,
-101915.448,-0.2199999988, , ,
-101915.2678,-0.2199999988, , ,
-101915.2678,-0.2199999988, , ,
-101915.1066,-0.2300000042, , ,
-101915.1066,-0.2300000042, , ,
-101914.9279,-0.2199999988, , ,
-101914.9279,-0.2199999988, , ,
-101914.7685,-0.2300000042, , ,
-101914.7685,-0.2300000042, , ,
-101914.5882,-0.2199999988, , ,
-101914.5882,-0.2199999988, , ,
-101914.4079,-0.2199999988, , ,
-101914.4079,-0.2199999988, , ,
-101914.2483,-0.2300000042, , ,
-101914.2483,-0.2300000042, , ,
-101914.0683,-0.2399999946, , ,
-101914.0683,-0.2399999946, , ,
-101913.8879,-0.2300000042, , ,
-101913.8879,-0.2300000042, , ,
-101913.7285,-0.2199999988, , ,
-101913.7285,-0.2199999988, , ,
-101913.5482,-0.2300000042, , ,
-101913.5482,-0.2300000042, , ,
-101913.3885,-0.2300000042, , ,
-101913.3885,-0.2300000042, , ,
-101913.2085,-0.2199999988, , ,
-101913.2085,-0.2199999988, , ,
-101913.0283,-0.2399999946, , ,
-101913.0283,-0.2399999946, , ,
-101912.8685,-0.2199999988, , ,
-101912.8685,-0.2199999988, , ,
-101912.6886,-0.2199999988, , ,
-101912.6886,-0.2199999988, , ,
-101912.5276,-0.2300000042, , ,
-101912.5276,-0.2300000042, , ,
-101912.3473,-0.2300000042, , ,
-101912.3473,-0.2300000042, , ,
-101912.1687,-0.2199999988, , ,
-101912.1687,-0.2199999988, , ,
-101912.0077,-0.2300000042, , ,
-101912.0077,-0.2300000042, , ,
-101911.8285,-0.25, , ,
-101911.8285,-0.25, , ,
-101911.6489,-0.2300000042, , ,
-101911.6489,-0.2300000042, , ,
-101911.4875,-0.2199999988, , ,
-101911.4875,-0.2199999988, , ,
-101911.3068,-0.2300000042, , ,
-101911.3068,-0.2300000042, , ,
-101911.1478,-0.2199999988, , ,
-101911.1478,-0.2199999988, , ,
-101910.9676,-0.2300000042, , ,
-101910.9676,-0.2300000042, , ,
-101910.7878,-0.2399999946, , ,
-101910.7878,-0.2399999946, , ,
-101910.6282,-0.2399999946, , ,
-101910.6282,-0.2399999946, , ,
-101910.4477,-0.2399999946, , ,
-101910.4477,-0.2399999946, , ,
-101910.2881,-0.2300000042, , ,
-101910.2881,-0.2300000042, , ,
-101910.1063,-0.2399999946, , ,
-101910.1063,-0.2399999946, , ,
-101909.9278,-0.2399999946, , ,
-101909.9278,-0.2399999946, , ,
-101909.7684,-0.2199999988, , ,
-101909.7684,-0.2199999988, , ,
-101909.5877,-0.2300000042, , ,
-101909.5877,-0.2300000042, , ,
-101909.4285,-0.2199999988, , ,
-101909.4285,-0.2199999988, , ,
-101909.2467,-0.2300000042, , ,
-101909.2467,-0.2300000042, , ,
-101909.0682,-0.2199999988, , ,
-101909.0682,-0.2199999988, , ,
-101908.9086,-0.2300000042, , ,
-101908.9086,-0.2300000042, , ,
-101908.728,-0.2300000042, , ,
-101908.728,-0.2300000042, , ,
-101908.5476,-0.2399999946, , ,
-101908.5476,-0.2399999946, , ,
-101908.3882,-0.2300000042, , ,
-101908.3882,-0.2300000042, , ,
-101908.2076,-0.2300000042, , ,
-101908.2076,-0.2300000042, , ,
-101908.0469,-0.2399999946, , ,
-101908.0469,-0.2399999946, , ,
-101907.8679,-0.2300000042, , ,
-101907.8679,-0.2300000042, , ,
-101907.6879,-0.2300000042, , ,
-101907.6879,-0.2300000042, , ,
-101907.5283,-0.2199999988, , ,
-101907.5283,-0.2199999988, , ,
-101907.3478,-0.2199999988, , ,
-101907.3478,-0.2199999988, , ,
-101907.1868,-0.2399999946, , ,
-101907.1868,-0.2399999946, , ,
-101907.0077,-0.2300000042, , ,
-101907.0077,-0.2300000042, , ,
-101906.8265,-0.2399999946, , ,
-101906.8265,-0.2399999946, , ,
-101906.6686,-0.2199999988, , ,
-101906.6686,-0.2199999988, , ,
-101906.4882,-0.2399999946, , ,
-101906.4882,-0.2399999946, , ,
-101906.3068,-0.2300000042, , ,
-101906.3068,-0.2300000042, , ,
-101906.1469,-0.2300000042, , ,
-101906.1469,-0.2300000042, , ,
-101905.9683,-0.25, , ,
-101905.9683,-0.25, , ,
-101905.8085,-0.2199999988, , ,
-101905.8085,-0.2199999988, , ,
-101905.6286,-0.2300000042, , ,
-101905.6286,-0.2300000042, , ,
-101905.4481,-0.2300000042, , ,
-101905.4481,-0.2300000042, , ,
-101905.2873,-0.2399999946, , ,
-101905.2873,-0.2399999946, , ,
-101905.1085,-0.2300000042, , ,
-101905.1085,-0.2300000042, , ,
-101904.9492,-0.2399999946, , ,
-101904.9492,-0.2399999946, , ,
-101904.7686,-0.25, , ,
-101904.7686,-0.25, , ,
-101904.588,-0.2399999946, , ,
-101904.588,-0.2399999946, , ,
-101904.4273,-0.2399999946, , ,
-101904.4273,-0.2399999946, , ,
-101904.2472,-0.25, , ,
-101904.2472,-0.25, , ,
-101904.0685,-0.2399999946, , ,
-101904.0685,-0.2399999946, , ,
-101903.9086,-0.25, , ,
-101903.9086,-0.25, , ,
-101903.7282,-0.2300000042, , ,
-101903.7282,-0.2300000042, , ,
-101903.5672,-0.2399999946, , ,
-101903.5672,-0.2399999946, , ,
-101903.3874,-0.009999999776, , ,
-101903.3874,-0.009999999776, , ,
-101903.2074,-0.009999999776, , ,
-101903.2074,-0.009999999776, , ,
-101903.0478,-0.009999999776, , ,
-101903.0478,-0.009999999776, , ,
-101902.8677,-0.009999999776, , ,
-101902.8677,-0.009999999776, , ,
-101902.7468,0, , ,
-101902.7468,0, , ,
-101897.6879,0.009999999776, , ,
-101897.6879,0.009999999776, , ,
-101892.6267,0.009999999776, , ,
-101892.6267,0.009999999776, , ,
-101887.5672,0.009999999776, , ,
-101887.5672,0.009999999776, , ,
